legacy_id,centre,d,cluster,id,name,latitude,longitude,type,type_norm
170956,0,395.019263039988,91,12287,"Rua Engenheiro João Kloss, 933 - Tatuquara",-25.570770103901996,-49.331832261032,Chapéu chinês,Street bus stop
170957,0,401.352774158317,91,12288,"Rua Engenheiro João Kloss, 934 -Tatuquara",-25.570754377188,-49.331943572706,Chapéu chinês,Street bus stop
170958,0,588.34368895482,91,12289,"Rua Engenheiro João Kloss, 733 - Tatuquara",-25.568989342884,-49.332253367846995,Domus,Street bus stop
170959,0,586.41502587739,91,12290,"Rua Engenheiro João Kloss, 96 - Tatuquara",-25.569071341743,-49.332435429096,Placa em cano,Street bus stop
170972,0,583.758428758027,91,12302,"Rua Santa Rita de Cássia dos Impossíveis, 498 - Tatuquara",-25.568789731472,-49.331358851141,Chapéu chinês,Street bus stop
170973,0,580.56444967695,91,12303,"Rua Santa Rita de Cássia dos Impossíveis, 497-- Tatuquara",-25.568804248677,-49.331286431498,Chapéu chinês,Street bus stop
171063,0,297.409034649373,91,12372,Terminal Tatuquara - 617 Jardim Ludovica,-25.576200625913,-49.331164046936,Plataforma,Bus terminal
171064,0,304.40928683246,91,12373,Terminal Tatuquara - 619 - Santa Rita / CIC,-25.576176102568,-49.331383988076,Plataforma,Bus terminal
171065,0,328.849272508677,91,12374,Terminal Tatuquara - 650 - Rita / Pinheirinho,-25.576403854041,-49.331445678883,Plataforma,Bus terminal
171066,0,251.101793496097,91,12375,Terminal Tatuquara - 684 - Rio Bonito,-25.575881266729,-49.330785101094,Plataforma,Bus terminal
171068,0,247.365510142254,91,12377,Terminal Tatuquara - 684 - Rio Bonito,-25.575796588015,-49.330904459396,Plataforma,Bus terminal
171069,0,272.981403469823,91,12378,Terminal Tatuquara - 685 - Rio Bonito / CIC,-25.576033688265,-49.33096212689,Plataforma,Bus terminal
171079,0,264.293776474319,91,12384,Terminal Tatuquara - 685 - Rio Bonito / CIC,-25.575907046346,-49.331053560045,Plataforma,Bus terminal
171086,0,585.522005789018,91,12389,R. Pres. João Goulart 1721,-25.578300976494003,-49.333171238589,Chapéu chinês,Street bus stop
171089,0,283.688547328419,91,12392,Terminal Tatuquara - 680 - Rurbana,-25.576111143446003,-49.331040364372996,Plataforma,Bus terminal
109070,1,0.0,92,7770,Estação Tubo Vila Acordes,-25.524862280126,-49.268841787400994,Estação tubo,Tube station
150438,0,529.190002379322,92,10732,"Rua João Batista Zagonel Passos, 619 - Xaxim",-25.522220288905,-49.263683276053,Chapéu chinês,Street bus stop
150439,0,494.647164449843,92,10733,"Rua Abraão Winter, 926 - Xaxim",-25.521656076668,-49.264823214884,Chapéu chinês,Street bus stop
150443,0,466.160458334006,92,10737,"Rua Laudelino Afonso da Rocha, 204 - Xaxim",-25.520766441859,-49.270006893848,Novo mobiliário,Street bus stop
150453,0,525.589352136419,92,10747,"Av. Sagitário, 1470 - Sítio Cercado",-25.527363831488,-49.263615268101,Chapéu chinês,Street bus stop
150454,0,490.208272677378,92,10748,"Av. Sagitário, 1551 - Sítio Cercado",-25.527349309264,-49.264098065723,Chapéu chinês,Street bus stop
150455,0,365.118002443499,92,10749,"Rua João Elói de Souza, 100 - Sítio Cercado",-25.526929374174,-49.265516954292,Chapéu chinês,Street bus stop
150457,0,195.589077432251,92,10750,"Rua Cid. Marcondes de Albuquerque, 178 - Pinheirinho",-25.526333959366,-49.267586278547,Novo mobiliário,Street bus stop
150458,0,188.539408938069,92,10751,"Rua Cid. Marcondes de Albuquerque, 187 - Pinheirinho",-25.526336379757,-49.267749893297,Novo mobiliário,Street bus stop
150459,0,50.794093558901,92,10752,"Rua Cid. Marcondes de Albuquerque, 260 - Pinheirinho",-25.524444771532,-49.269083322233,Novo mobiliário,Street bus stop
150460,0,86.903802925979,92,10753,"Rua Cid. Marcondes de Albuquerque, 333 - Pinheirinho",-25.524216040724998,-49.269414575047,Chapéu chinês,Street bus stop
150461,0,262.585694128022,92,10754,"Rua Cid. Marcondes de Albuquerque, 514 - Pinheirinho",-25.522817021644,-49.27038017029199,Novo mobiliário,Street bus stop
150463,0,412.952474105355,92,10755,"Rua Cid. Marcondes de Albuquerque, 697 - Pinheirinho",-25.521966226113005,-49.271871478505,Novo mobiliário,Street bus stop
150464,0,472.586162141873,92,10756,"Rua Cid. Marcondes de Albuquerque, 714 - Pinheirinho",-25.521523277545,-49.27226844543801,Novo mobiliário,Street bus stop
150538,0,544.032370092993,92,10814,"Rua Miguel Raicoski Sobrinho, 120 - Pinheirinho",-25.527413449076,-49.274282413353,Chapéu chinês,Street bus stop
150539,0,498.366155750164,92,10815,"Rua Prof. Júlio Teodorico Guimarães, 497 - Pinheirinho",-25.528147971541,-49.272814274973,Domus,Street bus stop
150540,0,503.195277032013,92,10816,"Rua Prof. Júlio Teodorico Guimarães, 498 - Pinheirinho",-25.528131029056,-49.272920222229,Sem demarcação,Street bus stop
150541,0,388.263187975412,92,10817,"Rua Prof. Júlio Teodorico Guimarães, 365 - Pinheirinho",-25.527528359109,-49.271780283398,Domus,Street bus stop
150542,0,373.757635014059,92,10818,"Rua Prof. Júlio Teodorico Guimarães, 376 - Pinheirinho",-25.527398869388,-49.271715910381,Placa em cano,Street bus stop
150543,0,199.982026496612,92,10819,"Rua Prof. Júlio Teodorico Guimarães, 15 - Pinheirinho",-25.526453711211,-49.269933582491,Domus,Street bus stop
150544,0,191.098142349664,92,10820,"Rua Prof. Júlio Teodorico Guimarães, 80 - Pinheirinho",-25.526360526199,-49.269938946909,Placa em poste,Street bus stop
150804,0,545.088403633197,92,11002,"Rua João Batista Zagonel Passos, 620 - Xaxim",-25.522088372978,-49.263574646588,Placa em cano,Street bus stop
150805,0,501.361189003119,92,11003,"Rua Abraão Winter, 927 -Xaxim",-25.521573780124,-49.26482187378,Placa em cano,Street bus stop
150806,0,374.40302362772,92,11004,"Rua Arthur Müller, 411 - Xaxim",-25.52158496139,-49.267835335608,Placa em cano,Street bus stop
150807,0,360.491200058383,92,11005,"Rua Artur Müller, 410 - Xaxim",-25.521705985688,-49.267876909848,Chapéu chinês,Street bus stop
150808,0,561.229197475741,92,11006,"Rua Professor João Ducke Filho, 78 - Xaxim",-25.5198196,-49.2691218,Chapéu chinês,Street bus stop
150879,0,371.997665453511,92,11058,"R. João Eloy de Souza, 90 - Sítio Cercado",-25.526994401696,-49.265482127666,Chapéu chinês,Street bus stop
150917,0,531.874341272778,92,11094,"R. Miguel Raicoski Sobrinho, 591 - Pinheirinho",-25.527348320651,-49.274167273919,Placa em cano,Street bus stop
150918,0,225.850647054048,92,11095,"Rua Cid Marcondes de Albuquerque, 2229 - Pinheirinho",-25.523141543505997,-49.270248090637,Novo mobiliário,Street bus stop
190009,0,585.461137783811,93,13301,"Marginal Rodovia BR- 277, 1630 - Santo Inácio",-25.430992143422,-49.329823527613,Chapéu chinês,Street bus stop
190013,0,127.57981188417,93,13305,"Rua Tobias de Macedo Júnior, 74 - Santo Inácio",-25.429823106643,-49.322741720238,Chapéu chinês,Street bus stop
190014,0,111.813500356681,93,13306,"Rua Tobias de Macedo Júnior, 75 - Santo Inácio",-25.429956708703,-49.322841078539,Domus,Street bus stop
190015,0,226.38270730672,93,13307,"Rua Tobias de Macedo Júnior, 310 - Santo Inácio",-25.429353354215,-49.324594139881,Chapéu chinês,Street bus stop
190016,0,230.83180156673,93,13308,"Rua Tobias de Macedo Júnior, 311 - Santo Inácio",-25.429380931878,-49.32472046627,Domus,Street bus stop
190017,0,508.247698111343,93,13309,"Rua Ana Gbur Barcik, 268 - Santo Inácio",-25.426705435177,-49.325144868717,Chapéu chinês,Street bus stop
190018,0,522.541636937931,93,13310,"Rua Ana Gbur Barcik, 267 - Santo Inácio",-25.426600931208,-49.325255597553,Chapéu chinês,Street bus stop
190029,0,454.677876550049,93,13319,"Rua Padre Ladislau Kula, 609 - Santo Inácio",-25.427106178365,-49.321172478504,Chapéu chinês,Street bus stop
190101,0,540.546818412542,93,13389,"Rua Tobias de Macedo Júnior, 763 - Santo Inácio",-25.427419658866,-49.327305743551,Chapéu chinês,Street bus stop
190102,0,554.713132245834,93,13390,"Rua Tobias de Macedo Júnior, 763 - Santo Inácio",-25.42732,-49.32741,Placa em cano,Street bus stop
190198,1,0.0,93,13479,"Marginal Rodovia BR- 277, 926 - Santo Inácio",-25.430958050443998,-49.322961066418,Domus,Street bus stop
190915,0,224.818498991718,93,14034,"Rua Padre Ladislau Kula, 867 - Santo Inácio",-25.429386836504,-49.321302567949,Chapéu chinês,Street bus stop
190948,0,221.602026948608,93,14053,"R. Padre Ladislau Kula, 820 - Santo Inacio - Santa Felicidade",-25.429377215997,-49.321379363537,Chapéu chinês,Street bus stop
190949,0,486.481817406523,93,14054,"R. Padre Ladislau Kula, 576 - Santo Inacio - Santa Felicidade",-25.426794969781,-49.32120770216,Chapéu chinês,Street bus stop
